Professor,Publication Type,Venue,Title,Authors,Year,Research Field,Research Fields,Research Field Percentages,2D Points
Bernhard Schölkopf,Conference or Workshop Paper,NIPS,AdaGAN: Boosting Generative Models.,Ilya O. Tolstikhin;Sylvain Gelly;Olivier Bousquet;Carl-Johann Simon-Gabriel;Bernhard Schölkopf,2017,Machine Learning,"['Machine Learning', 'Computer Vision']","[0.6666666666666666, 0.3333333333333333]","[67.94723510742188, -28.496906280517578]"
Bernhard Schölkopf,Conference or Workshop Paper,SMC,Personalized brain-computer interface models for motor rehabilitation.,Anastasia-Atalanti Mastakouri;Sebastian Weichwald;Ozan Özdenizci;Timm Meyer;Bernhard Schölkopf;Moritz Grosse-Wentrup,2017,Machine Learning,['Machine Learning'],[1.0],"[-14.357776641845703, 13.259969711303711]"
Bernhard Schölkopf,Conference or Workshop Paper,UAI,Causal Discovery from Temporally Aggregated Time Series.,Mingming Gong;Kun Zhang;Bernhard Schölkopf;Clark Glymour;Dacheng Tao,2017,Machine Learning,['Machine Learning'],[1.0],"[0.08241885900497437, -40.27487564086914]"
Bernhard Schölkopf,Conference or Workshop Paper,UAI,Causal Consistency of Structural Equation Models.,Paul K. Rubenstein;Sebastian Weichwald;Stephan Bongers;Joris M. Mooij;Dominik Janzing;Moritz Grosse-Wentrup;Bernhard Schölkopf,2017,Machine Learning,['Machine Learning'],[1.0],"[2.308476448059082, -36.29598617553711]"
Bernhard Schölkopf,Conference or Workshop Paper,WSDM,DiSMEC: Distributed Sparse Machines for Extreme Multi-label Classification.,Rohit Babbar;Bernhard Schölkopf,2017,Machine Learning,['Machine Learning'],[1.0],"[-4.043750762939453, -11.494638442993164]"
Bernhard Schölkopf,Informal or Other Publication,CoRR,Personalized Brain-Computer Interface Models for Motor Rehabilitation.,Anastasia-Atalanti Mastakouri;Sebastian Weichwald;Ozan Özdenizci;Timm Meyer;Bernhard Schölkopf;Moritz Grosse-Wentrup,2017,Machine Learning,['Machine Learning'],[1.0],"[-14.357776641845703, 13.259969711303711]"
Bernhard Schölkopf,Informal or Other Publication,CoRR,Annealed Generative Adversarial Networks.,Arash Mehrjou;Bernhard Schölkopf;Saeed Saremi,2017,Machine Learning,['Machine Learning'],[1.0],"[49.01529312133789, -22.090059280395508]"
Bernhard Schölkopf,Informal or Other Publication,CoRR,Discriminative k-shot learning using probabilistic models.,Matthias Bauer;Mateo Rojas-Carulla;Jakub Bartlomiej Swiatkowski;Bernhard Schölkopf;Richard E. Turner,2017,Machine Learning,['Machine Learning'],[1.0],"[31.1145076751709, 8.294709205627441]"
Bernhard Schölkopf,Informal or Other Publication,CoRR,Probabilistic Active Learning of Functions in Structural Causal Models.,Paul K. Rubenstein;Ilya O. Tolstikhin;Philipp Hennig;Bernhard Schölkopf,2017,Machine Learning,['Machine Learning'],[1.0],"[1.5936025381088257, -32.812042236328125]"
Bernhard Schölkopf,Informal or Other Publication,CoRR,Optimizing Human Learning.,Behzad Tabibian;Utkarsh Upadhyay;Abir De;Ali Zarezade;Bernhard Schölkopf;Manuel Gomez-Rodriguez,2017,Machine Learning,['Machine Learning'],[1.0],"[-11.813836097717285, -10.36198902130127]"
Bernhard Schölkopf,Journal Article,IEEE Comput. Intell. Mag.,Transfer Learning in Brain-Computer Interfaces Abstract\uFFFDThe performance of brain-computer interfaces (BCIs) improves with the amount of avail.,Vinay Jayaram;Morteza Alamgir;Yasemin Altun;Bernhard Schölkopf;Moritz Grosse-Wentrup,2016,Machine Learning,['Machine Learning'],[1.0],"[20.105165481567383, -6.811066627502441]"
Bernhard Schölkopf,Journal Article,J. Mach. Learn. Res.,Distinguishing Cause from Effect Using Observational Data: Methods and Benchmarks.,Joris M. Mooij;Jonas Peters;Dominik Janzing;Jakob Zscheischler;Bernhard Schölkopf,2016,Machine Learning,['Machine Learning'],[1.0],"[-18.507991790771484, -34.555606842041016]"
Bernhard Schölkopf,Journal Article,J. Mach. Learn. Res.,Kernel Mean Shrinkage Estimators.,Krikamol Muandet;Bharath K. Sriperumbudur;Kenji Fukumizu;Arthur Gretton;Bernhard Schölkopf,2016,Machine Learning,['Machine Learning'],[1.0],"[21.437715530395508, -49.20029067993164]"
Bernhard Schölkopf,Journal Article,J. Mach. Learn. Res.,"Estimating Diffusion Networks: Recovery Conditions, Sample Complexity and Soft-thresholding Algorithm.",Manuel Gomez-Rodriguez;Le Song;Hadi Daneshmand;Bernhard Schölkopf,2016,Machine Learning,['Machine Learning'],[1.0],"[13.052443504333496, -15.904875755310059]"
Bernhard Schölkopf,Journal Article,NeuroImage,Identification of causal relations in neuroimaging data with latent confounders: An instrumental variable approach.,Moritz Grosse-Wentrup;Dominik Janzing;Markus Siegel;Bernhard Schölkopf,2016,Machine Learning,"['Machine Learning', 'Computer Vision']","[0.6666666666666666, 0.3333333333333333]","[-9.724411964416504, -27.615821838378906]"
Bernhard Schölkopf,Journal Article,IEEE Trans. Pattern Anal. Mach. Intell.,Learning to Deblur.,Christian J. Schuler;Michael Hirsch;Stefan Harmeling;Bernhard Schölkopf,2016,Machine Learning,['Machine Learning'],[1.0],"[62.40234375, 37.052303314208984]"
Bernhard Schölkopf,Journal Article,Proc. Natl. Acad. Sci. USA,Modeling confounding by half-sibling regression.,Bernhard Schölkopf;David W. Hogg;Dun Wang;Daniel Foreman-Mackey;Dominik Janzing;Carl-Johann Simon-Gabriel;Jonas Peters,2016,Machine Learning,['Machine Learning'],[1.0],"[-19.519487380981445, -46.27976608276367]"
Bernhard Schölkopf,Journal Article,IEEE Trans. Control. Syst. Technol.,Gaussian Process-Based Predictive Control for Periodic Error Correction.,Edgar D. Klenske;Melanie Nicole Zeilinger;Bernhard Schölkopf;Philipp Hennig,2016,Machine Learning,['Machine Learning'],[1.0],"[-20.684829711914062, -17.96472930908203]"
Bernhard Schölkopf,Journal Article,ACM Trans. Intell. Syst. Technol.,On Estimation of Functional Causal Models: General Results and Application to the Post-Nonlinear Causal Model.,Kun Zhang;Zhikun Wang;Jiji Zhang;Bernhard Schölkopf,2016,Machine Learning,['Machine Learning'],[1.0],"[-4.429959297180176, -35.78173065185547]"
Bernhard Schölkopf,Journal Article,ACM Trans. Intell. Syst. Technol.,Preface to the ACM TIST Special Issue on Causal Discovery and Inference.,Kun Zhang;Jiuyong Li;Elias Bareinboim;Bernhard Schölkopf;Judea Pearl,2016,Machine Learning,['Machine Learning'],[1.0],"[-6.870985984802246, -43.88661193847656]"
Bernhard Schölkopf,Journal Article,ACM Trans. Inf. Syst.,Influence Estimation and Maximization in Continuous-Time Diffusion Networks.,Manuel Gomez-Rodriguez;Le Song;Nan Du;Hongyuan Zha;Bernhard Schölkopf,2016,Machine Learning,['Machine Learning'],[1.0],"[9.685129165649414, -20.36097526550293]"
Bernhard Schölkopf,Conference or Workshop Paper,ACCV (4),End-to-End Learning for Image Burst Deblurring.,Patrick Wieschollek;Bernhard Schölkopf;Hendrik P. A. Lensch;Michael Hirsch,2016,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.5, 0.5]","[62.009769439697266, 39.255619049072266]"
Bernhard Schölkopf,Conference or Workshop Paper,GCPR,Depth Estimation Through a Generative Model of Light Field Synthesis.,Mehdi S. M. Sajjadi;Rolf Köhler;Bernhard Schölkopf;Michael Hirsch,2016,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.5, 0.5]","[26.965972900390625, 31.58231544494629]"
Bernhard Schölkopf,Conference or Workshop Paper,Humanoids,Using probabilistic movement primitives for striking movements.,Sebastián Gómez-González;Gerhard Neumann;Bernhard Schölkopf;Jan Peters,2016,Machine Learning,['Machine Learning'],[1.0],"[-22.229673385620117, 61.59257888793945]"
Bernhard Schölkopf,Conference or Workshop Paper,Humanoids,Jointly learning trajectory generation and hitting point prediction in robot table tennis.,Yanlong Huang;Dieter Buchler;Okan Koc;Bernhard Schölkopf;Jan Peters,2016,Machine Learning,['Machine Learning'],[0.5],"[-70.85089874267578, 16.424564361572266]"
Bernhard Schölkopf,Conference or Workshop Paper,ICML,Domain Adaptation with Conditional Transferable Components.,Mingming Gong;Kun Zhang;Tongliang Liu;Dacheng Tao;Clark Glymour;Bernhard Schölkopf,2016,Machine Learning,['Machine Learning'],[1.0],"[16.867958068847656, -23.79172706604004]"
Bernhard Schölkopf,Conference or Workshop Paper,NIPS,Consistent Kernel Mean Estimation for Functions of Random Variables.,Carl-Johann Simon-Gabriel;Adam Scibior;Ilya O. Tolstikhin;Bernhard Schölkopf,2016,Machine Learning,['Machine Learning'],[1.0],"[20.737537384033203, -51.2647819519043]"
Bernhard Schölkopf,Conference or Workshop Paper,NIPS,Minimax Estimation of Maximum Mean Discrepancy with Radial Kernels.,Ilya O. Tolstikhin;Bharath K. Sriperumbudur;Bernhard Schölkopf,2016,Machine Learning,['Machine Learning'],[1.0],"[24.003965377807617, -50.86906051635742]"
Bernhard Schölkopf,Conference or Workshop Paper,PRNI,Recovery of non-linear cause-effect relationships from linearly mixed neuroimaging data.,Sebastian Weichwald;Arthur Gretton;Bernhard Schölkopf;Moritz Grosse-Wentrup,2016,Machine Learning,"['Machine Learning', 'Computer Vision']","[0.6666666666666666, 0.3333333333333333]","[-9.027265548706055, -30.33454704284668]"
Bernhard Schölkopf,Conference or Workshop Paper,SDM,TerseSVM : A Scalable Approach for Learning Compact Models in Large-scale Classification.,Rohit Babbar;Krikamol Muandet;Bernhard Schölkopf,2016,Machine Learning,['Machine Learning'],[1.0],"[-14.972662925720215, 3.9317786693573]"
Bernhard Schölkopf,Conference or Workshop Paper,UAI,On the Identifiability and Estimation of Functional Causal Models in the Presence of Outcome-Dependent Selection.,Kun Zhang;Jiji Zhang;Biwei Huang;Bernhard Schölkopf;Clark Glymour,2016,Machine Learning,['Machine Learning'],[1.0],"[-6.122830867767334, -37.95875549316406]"
Bernhard Schölkopf,Informal or Other Publication,CoRR,Causal models for debugging and control in cloud computing.,Philipp Geiger;Lucian Carata;Bernhard Schölkopf,2016,Machine Learning,"['Machine Learning', 'Computer Vision']","[0.6666666666666666, 0.3333333333333333]","[-19.04200553894043, 14.150594711303711]"
Bernhard Schölkopf,Informal or Other Publication,CoRR,Optimal Coding in Biological and Artificial Neural Networks.,Sebastian Weichwald;Tatiana Fomina;Bernhard Schölkopf;Moritz Grosse-Wentrup,2016,Machine Learning,"['Machine Learning', 'Bioinformatics and Computational Biology']","[0.6666666666666666, 0.3333333333333333]","[-2.0799293518066406, 15.390974998474121]"
Bernhard Schölkopf,Informal or Other Publication,CoRR,Kernel Mean Embedding of Distributions: A Review and Beyonds.,Krikamol Muandet;Kenji Fukumizu;Bharath K. Sriperumbudur;Bernhard Schölkopf,2016,Machine Learning,['Machine Learning'],[1.0],"[17.94348907470703, -48.52567672729492]"
Bernhard Schölkopf,Informal or Other Publication,CoRR,Experimental and causal view on information integration in autonomous agents.,Philipp Geiger;Katja Hofmann;Bernhard Schölkopf,2016,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.5, 0.5]","[-58.08237838745117, 4.054095268249512]"
Bernhard Schölkopf,Informal or Other Publication,CoRR,DiSMEC - Distributed Sparse Machines for Extreme Multi-label Classification.,Rohit Babbar;Bernhard Schölkopf,2016,Machine Learning,['Machine Learning'],[1.0],"[-4.043675422668457, -11.494549751281738]"
Bernhard Schölkopf,Informal or Other Publication,CoRR,Screening Rules for Convex Problems.,Anant Raj;Jakob Olbrich;Bernd Gärtner;Bernhard Schölkopf;Martin Jaggi,2016,Machine Learning,['Machine Learning'],[1.0],"[-34.543609619140625, -63.17550277709961]"
Bernhard Schölkopf,Informal or Other Publication,CoRR,"Structural Causal Models: Cycles, Marginalizations, Exogenous Reparametrizations and Reductions.",Stephan Bongers;Jonas Peters;Bernhard Schölkopf;Joris M. Mooij,2016,Machine Learning,['Machine Learning'],[1.0],"[-1.956775426864624, -34.069759368896484]"
Bernhard Schölkopf,Informal or Other Publication,CoRR,EnhanceNet: Single Image Super-Resolution through Automated Texture Synthesis.,Mehdi S. M. Sajjadi;Bernhard Schölkopf;Michael Hirsch,2016,Computer Vision,['Computer Vision'],[1.0],"[49.724639892578125, 38.365360260009766]"
Bernhard Schölkopf,Informal or Other Publication,Dagstuhl Reports,New Directions for Learning with Kernels and Gaussian Processes (Dagstuhl Seminar 16481).,Arthur Gretton;Philipp Hennig;Carl Edward Rasmussen;Bernhard Schölkopf,2016,Machine Learning,['Machine Learning'],[1.0],"[-17.2701473236084, -22.74884605407715]"
Bernhard Schölkopf,Journal Article,J. Mach. Learn. Res.,Semi-supervised interpolation in an anticausal learning scenario.,Dominik Janzing;Bernhard Schölkopf,2015,Machine Learning,"['Machine Learning', 'Computer Vision']","[0.6666666666666666, 0.3333333333333333]","[0.11414816230535507, -26.966886520385742]"
Bernhard Schölkopf,Journal Article,Nat.,Artificial intelligence: Learning to see and act.,Bernhard Schölkopf,2015,Machine Learning,['Machine Learning'],[1.0],"[-37.62491989135742, -26.1679744720459]"
Bernhard Schölkopf,Journal Article,NeuroImage,Causal interpretation rules for encoding and decoding models in neuroimaging.,Sebastian Weichwald;Timm Meyer;Ozan Özdenizci;Bernhard Schölkopf;Tonio Ball;Moritz Grosse-Wentrup,2015,Machine Learning,['Machine Learning'],[0.8],"[3.4111175537109375, -27.56666374206543]"
Bernhard Schölkopf,Journal Article,Stat. Comput.,Computing functions of random variables via reproducing kernel Hilbert space representations.,Bernhard Schölkopf;Krikamol Muandet;Kenji Fukumizu;Stefan Harmeling;Jonas Peters,2015,Machine Learning,['Machine Learning'],[0.75],"[18.659639358520508, -53.15645217895508]"
Bernhard Schölkopf,Conference or Workshop Paper,AAAI,Multi-Source Domain Adaptation: A Causal View.,Kun Zhang;Mingming Gong;Bernhard Schölkopf,2015,Machine Learning,['Machine Learning'],[1.0],"[16.791675567626953, -22.606107711791992]"
Bernhard Schölkopf,Conference or Workshop Paper,AISTATS,Inference of Cause and Effect with Unsupervised Inverse Regression.,Eleni Sgouritsa;Dominik Janzing;Philipp Hennig;Bernhard Schölkopf,2015,Machine Learning,['Machine Learning'],[0.8],"[-21.37529754638672, -33.074310302734375]"
Bernhard Schölkopf,Conference or Workshop Paper,EMBC,Identification of the Default Mode Network with electroencephalography.,Tatiana Fomina;Matthias Hohmann;Bernhard Schölkopf;Moritz Grosse-Wentrup,2015,Machine Learning,['Machine Learning'],[1.0],"[-51.08818435668945, -58.370967864990234]"
Bernhard Schölkopf,Conference or Workshop Paper,MLMMI@ICML,Retrospective Motion Correction of Magnitude-Input MR Images.,Alexander Loktyushin;Christian J. Schuler;Klaus Scheffler;Bernhard Schölkopf,2015,Computer Vision,['Computer Vision'],[1.0],"[64.49794006347656, 1.5458530187606812]"
Bernhard Schölkopf,Conference or Workshop Paper,ICML,Telling cause from effect in deterministic linear dynamical systems.,Naji Shajarisales;Dominik Janzing;Bernhard Schölkopf;Michel Besserve,2015,Machine Learning,['Machine Learning'],[1.0],"[-20.108732223510742, -33.420684814453125]"
Bernhard Schölkopf,Conference or Workshop Paper,ICML,Towards a Learning Theory of Cause-Effect Inference.,David Lopez-Paz;Krikamol Muandet;Bernhard Schölkopf;Ilya O. Tolstikhin,2015,Machine Learning,['Machine Learning'],[1.0],"[-26.8918514251709, -33.822265625]"
Bernhard Schölkopf,Conference or Workshop Paper,ICML,Discovering Temporal Causal Relations from Subsampled Data.,Mingming Gong;Kun Zhang;Bernhard Schölkopf;Dacheng Tao;Philipp Geiger,2015,Machine Learning,['Machine Learning'],[1.0],"[-5.328881740570068, -33.2325553894043]"
Bernhard Schölkopf,Conference or Workshop Paper,ICML,Causal Inference by Identification of Vector Autoregressive Processes with Hidden Components.,Philipp Geiger;Kun Zhang;Bernhard Schölkopf;Mingming Gong;Dominik Janzing,2015,Machine Learning,['Machine Learning'],[1.0],"[-15.712910652160645, -25.18940544128418]"
Bernhard Schölkopf,Conference or Workshop Paper,ICML,Removing systematic errors for exoplanet search via latent causes.,Bernhard Schölkopf;David W. Hogg;Dun Wang;Daniel Foreman-Mackey;Dominik Janzing;Carl-Johann Simon-Gabriel;Jonas Peters,2015,Robotics,['Robotics'],[1.0],"[-21.90921974182129, -36.21760940551758]"
Bernhard Schölkopf,Conference or Workshop Paper,IJCAI,Identification of Time-Dependent Causal Model: A Gaussian Process Treatment.,Biwei Huang;Kun Zhang;Bernhard Schölkopf,2015,Machine Learning,['Machine Learning'],[1.0],"[-13.811834335327148, -24.074615478515625]"
Bernhard Schölkopf,Conference or Workshop Paper,IROS,Learning optimal striking points for a ping-pong playing robot.,Yanlong Huang;Bernhard Schölkopf;Jan Peters,2015,Machine Learning,['Machine Learning'],[0.6],"[-66.81816101074219, 17.157787322998047]"
Bernhard Schölkopf,Informal or Other Publication,CoRR,Computing Functions of Random Variables via Reproducing Kernel Hilbert Space Representations.,Bernhard Schölkopf;Krikamol Muandet;Kenji Fukumizu;Jonas Peters,2015,Machine Learning,['Machine Learning'],[0.75],"[18.659452438354492, -53.156517028808594]"
Bernhard Schölkopf,Informal or Other Publication,CoRR,Towards Robust and Specific Causal Discovery from fMRI.,Kun Zhang;Biwei Huang;Bernhard Schölkopf;Michel Besserve;Masataka Watanabe;Dajiang Zhu,2015,Machine Learning,['Machine Learning'],[1.0],"[-12.66901683807373, -38.08238983154297]"
Bernhard Schölkopf,Informal or Other Publication,CoRR,Transfer Learning in Brain-Computer Interfaces.,Vinay Jayaram;Morteza Alamgir;Yasemin Altun;Bernhard Schölkopf;Moritz Grosse-Wentrup,2015,Machine Learning,['Machine Learning'],[1.0],"[20.048643112182617, -6.9536919593811035]"
Bernhard Schölkopf,Informal or Other Publication,CoRR,Causal and anti-causal learning in pattern recognition for neuroimaging.,Sebastian Weichwald;Bernhard Schölkopf;Tonio Ball;Moritz Grosse-Wentrup,2015,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.5, 0.5]","[2.376173973083496, -27.665616989135742]"
Bernhard Schölkopf,Journal Article,Biol. Cybern.,Learning strategies in table tennis using inverse reinforcement learning.,Katharina Mülling;Abdeslam Boularias;Betty J. Mohler;Bernhard Schölkopf;Jan Peters,2014,Machine Learning,['Machine Learning'],[1.0],"[-69.60040283203125, 13.754117012023926]"
Bernhard Schölkopf,Journal Article,J. Mach. Learn. Res.,Causal discovery with continuous additive noise models.,Jonas Peters;Joris M. Mooij;Dominik Janzing;Bernhard Schölkopf,2014,Machine Learning,['Machine Learning'],[1.0],"[-16.036500930786133, -41.00095748901367]"
Bernhard Schölkopf,Journal Article,Neural Comput.,Causal Discovery via Reproducing Kernel Hilbert Space Embeddings.,Zhitang Chen;Kun Zhang;Laiwan Chan;Bernhard Schölkopf,2014,Machine Learning,"['Machine Learning', 'Natural Language Processing']","[0.6666666666666666, 0.3333333333333333]","[17.384212493896484, -53.43044662475586]"
Bernhard Schölkopf,Journal Article,IEEE Trans. Geosci. Remote. Sens.,Cost-Sensitive Active Learning With Lookahead: Optimizing Field Surveys for Remote Sensing Data Classification.,Claudio Persello;Abdeslam Boularias;Michele Dalponte;Terje Gobakken;Erik Næsset;Bernhard Schölkopf,2014,Machine Learning,['Machine Learning'],[0.8333333333333334],"[-9.654694557189941, 34.206787109375]"
Bernhard Schölkopf,Conference or Workshop Paper,AISTATS,Towards building a Crowd-Sourced Sky Map.,Dustin Lang;David W. Hogg;Bernhard Schölkopf,2014,Web Information Retrieval,['Web Information Retrieval'],[1.0],"[-12.3889741897583, 15.924968719482422]"
Bernhard Schölkopf,Conference or Workshop Paper,CIP,Decoding index finger position from EEG using random forests.,Sebastian Weichwald;Timm Meyer;Bernhard Schölkopf;Tonio Ball;Moritz Grosse-Wentrup,2014,Machine Learning,"['Machine Learning', 'Human-Computer Interaction']","[0.6666666666666666, 0.3333333333333333]","[66.94347381591797, -32.56928253173828]"
Bernhard Schölkopf,Conference or Workshop Paper,COLT,Open Problem: Finding Good Cascade Sampling Processes for the Network Inference Problem.,Manuel Gomez-Rodriguez;Le Song;Bernhard Schölkopf,2014,Machine Learning,['Machine Learning'],[1.0],"[-10.105730056762695, -13.055486679077148]"
Bernhard Schölkopf,Conference or Workshop Paper,GCPR,Mask-Specific Inpainting with Deep Neural Networks.,Rolf Köhler;Christian J. Schuler;Bernhard Schölkopf;Stefan Harmeling,2014,Machine Learning,['Machine Learning'],[1.0],"[8.483015060424805, 9.604134559631348]"
Bernhard Schölkopf,Conference or Workshop Paper,ICML,Kernel Mean Estimation and Stein Effect.,Krikamol Muandet;Kenji Fukumizu;Bharath K. Sriperumbudur;Arthur Gretton;Bernhard Schölkopf,2014,Machine Learning,['Machine Learning'],[1.0],"[21.427600860595703, -47.85498046875]"
Bernhard Schölkopf,Conference or Workshop Paper,ICML,Consistency of Causal Inference under the Additive Noise Model.,Samory Kpotufe;Eleni Sgouritsa;Dominik Janzing;Bernhard Schölkopf,2014,Machine Learning,['Machine Learning'],[1.0],"[-17.32779312133789, -41.12263107299805]"
Bernhard Schölkopf,Conference or Workshop Paper,ICML,"Estimating Diffusion Network Structures: Recovery Conditions, Sample Complexity & Soft-thresholding Algorithm.",Hadi Daneshmand;Manuel Gomez-Rodriguez;Le Song;Bernhard Schölkopf,2014,Machine Learning,['Machine Learning'],[1.0],"[13.055215835571289, -15.90680980682373]"
Bernhard Schölkopf,Conference or Workshop Paper,ICML,Randomized Nonlinear Component Analysis.,David Lopez-Paz;Suvrit Sra;Alexander J. Smola;Zoubin Ghahramani;Bernhard Schölkopf,2014,Machine Learning,['Machine Learning'],[1.0],"[-20.843120574951172, -25.06224822998047]"
Bernhard Schölkopf,Conference or Workshop Paper,NIPS,Kernel Mean Estimation via Spectral Filtering.,Krikamol Muandet;Bharath K. Sriperumbudur;Bernhard Schölkopf,2014,Machine Learning,['Machine Learning'],[1.0],"[21.453466415405273, -49.62572479248047]"
Bernhard Schölkopf,Conference or Workshop Paper,UAI,Inferring latent structures via information inequalities.,Rafael Chaves;Lukas Luft;Thiago O. Maciel;David Gross;Dominik Janzing;Bernhard Schölkopf,2014,Machine Learning,['Machine Learning'],[1.0],"[-2.905388116836548, -14.83399486541748]"
Bernhard Schölkopf,Conference or Workshop Paper,UAI,A Permutation-Based Kernel Conditional Independence Test.,Gary Doran;Krikamol Muandet;Kun Zhang;Bernhard Schölkopf,2014,Machine Learning,['Machine Learning'],[1.0],"[5.550498962402344, -44.06243133544922]"
Bernhard Schölkopf,Conference or Workshop Paper,UAI,Estimating Causal Effects by Bounding Confounding.,Philipp Geiger;Dominik Janzing;Bernhard Schölkopf,2014,Machine Learning,['Machine Learning'],[1.0],"[-20.198108673095703, -48.8602180480957]"
Bernhard Schölkopf,Informal or Other Publication,CoRR,From Ordinary Differential Equations to Structural Causal Models: the deterministic case.,Joris M. Mooij;Dominik Janzing;Bernhard Schölkopf,2014,Machine Learning,['Machine Learning'],[1.0],"[6.897172927856445, -33.088043212890625]"
Bernhard Schölkopf,Informal or Other Publication,CoRR,One-Class Support Measure Machines for Group Anomaly Detection.,Krikamol Muandet;Bernhard Schölkopf,2014,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.5, 0.5]","[-41.10297775268555, -70.47496795654297]"
Bernhard Schölkopf,Informal or Other Publication,CoRR,Distinguishing cause from effect using observational data: methods and benchmarks.,Joris M. Mooij;Jonas Peters;Dominik Janzing;Jakob Zscheischler;Bernhard Schölkopf,2014,Machine Learning,['Machine Learning'],[1.0],"[-18.508474349975586, -34.555545806884766]"
Bernhard Schölkopf,Journal Article,Comput. Graph. Forum,HiFiVE: A Hilbert Space Embedding of Fiber Variability Estimates for Uncertainty Modeling and Visualization.,Thomas Schultz;Lara Schlaffke;Bernhard Schölkopf;Tobias Schmidt-Wilcke,2013,Machine Learning,['Machine Learning'],[0.5],"[15.465333938598633, -53.644351959228516]"
Bernhard Schölkopf,Journal Article,Int. J. Robotics Res.,Probabilistic movement modeling for intention inference in human-robot interaction.,Zhikun Wang;Katharina Mülling;Marc Peter Deisenroth;Heni Ben Amor;David Vogt;Bernhard Schölkopf;Jan Peters,2013,Machine Learning,['Machine Learning'],[0.5],"[-24.9038143157959, 61.55862808227539]"
Bernhard Schölkopf,Conference or Workshop Paper,Allerton,Nonparametric dynamics estimation for time periodic systems.,Edgar D. Klenske;Melanie Nicole Zeilinger;Bernhard Schölkopf;Philipp Hennig,2013,Machine Learning,['Machine Learning'],[1.0],"[-30.266315460205078, -4.2360124588012695]"
Bernhard Schölkopf,Conference or Workshop Paper,Empirical Inference,Semi-supervised Learning in Causal and Anticausal Settings.,Bernhard Schölkopf;Dominik Janzing;Jonas Peters;Eleni Sgouritsa;Kun Zhang;Joris M. Mooij,2013,Machine Learning,['Machine Learning'],[0.75],"[0.6263962388038635, -27.421720504760742]"
Bernhard Schölkopf,Conference or Workshop Paper,CVPR,A Machine Learning Approach for Non-blind Image Deconvolution.,Christian J. Schuler;Harold Christopher Burger;Stefan Harmeling;Bernhard Schölkopf,2013,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.6666666666666666, 0.3333333333333333]","[76.32317352294922, 13.421448707580566]"
Bernhard Schölkopf,Conference or Workshop Paper,CVPR,"On a Link Between Kernel Mean Maps and Fraunhofer Diffraction, with an Application to Super-Resolution Beyond the Diffraction Limit.",Stefan Harmeling;Michael Hirsch;Bernhard Schölkopf,2013,Machine Learning,['Machine Learning'],[1.0],"[19.081684112548828, -49.19797134399414]"
Bernhard Schölkopf,Conference or Workshop Paper,ICDM Workshops,On Estimation of Functional Causal Models: Post-Nonlinear Causal Model as an Example.,Kun Zhang;Zhikun Wang;Bernhard Schölkopf,2013,Machine Learning,['Machine Learning'],[1.0],"[-4.410069465637207, -35.77613830566406]"
Bernhard Schölkopf,Conference or Workshop Paper,ICML (1),Domain Generalization via Invariant Feature Representation.,Krikamol Muandet;David Balduzzi;Bernhard Schölkopf,2013,Machine Learning,['Machine Learning'],[1.0],"[18.728696823120117, -18.110416412353516]"
Bernhard Schölkopf,Conference or Workshop Paper,ICML (3),Modeling Information Propagation with Survival Theory.,Manuel Gomez-Rodriguez;Jure Leskovec;Bernhard Schölkopf,2013,Machine Learning,['Machine Learning'],[1.0],"[-31.986539840698242, -33.87541580200195]"
Bernhard Schölkopf,Conference or Workshop Paper,ICML (3),Domain Adaptation under Target and Conditional Shift.,Kun Zhang;Bernhard Schölkopf;Krikamol Muandet;Zhikun Wang,2013,Machine Learning,['Machine Learning'],[1.0],"[16.931640625, -23.85567855834961]"
Bernhard Schölkopf,Conference or Workshop Paper,NIPS,The Randomized Dependence Coefficient.,David López-Paz;Philipp Hennig;Bernhard Schölkopf,2013,Machine Learning,['Machine Learning'],[1.0],"[9.104056358337402, -54.03773880004883]"
Bernhard Schölkopf,Conference or Workshop Paper,NIPS,Causal Inference on Time Series using Restricted Structural Equation Models.,Jonas Peters;Dominik Janzing;Bernhard Schölkopf,2013,Machine Learning,['Machine Learning'],[1.0],"[1.6488330364227295, -37.79339599609375]"
Bernhard Schölkopf,Conference or Workshop Paper,NIPS,Statistical analysis of coupled time series with Kernel Cross-Spectral Density operators.,Michel Besserve;Nikos K. Logothetis;Bernhard Schölkopf,2013,Machine Learning,['Machine Learning'],[1.0],"[4.315238952636719, -48.5568733215332]"
Bernhard Schölkopf,Conference or Workshop Paper,PRNI,How to Test the Quality of Reconstructed Sources in Independent Component Analysis (ICA) of EEG/MEG Data.,Moritz Grosse-Wentrup;Stefan Harmeling;Thorsten O. Zander;N. Jeremy Hill;Bernhard Schölkopf,2013,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.5, 0.5]","[-18.885112762451172, -25.9373779296875]"
