Professor,Publication Type,Venue,Title,Authors,Year
Bernhard Schölkopf ,Journal,"Pattern Recognition, 27th {DAGM} Symposium, Vienna, Austria, August
31 - September 2, 2005, Proceedings",Regularization on Discrete Spaces,"Dengyong Zhou;Bernhard Sch{\""{o}}lkopf",2005
Bernhard Schölkopf ,Journal,"ECCB/JBI'05 Proceedings, Fourth European Conference on Computational
Biology/Sixth Meeting of the Spanish Bioinformatics Network (Jornadas
de BioInform{\'{a}}tica), Palacio de Congresos, Madrid, Spain, September
28 - October 1, 2005",Fast protein classification with multiple networks,"Koji Tsuda;Hyunjung Shin;Bernhard Sch{\""{o}}lkopf",2005
Bernhard Schölkopf ,Journal,"Machine Learning: {ECML} 2005, 16th European Conference on Machine
Learning, Porto, Portugal, October 3-7, 2005, Proceedings",Training Support Vector Machines with Multiple Equality Constraints,"Wolf Kienzle;Bernhard Sch{\""{o}}lkopf",2005
Bernhard Schölkopf ,Journal,"Machine Learning, Proceedings of the Twenty-Second International Conference
{(ICML} 2005), Bonn, Germany, August 7-11, 2005",A brain computer interface with online feedback based on magnetoencephalography,"Thomas Navin Lal;Michael Schr{\""{o}}der;N. Jeremy Hill;Hubert Prei{\ss}l;Thilo Hinterberger;J{\""{u}}rgen Mellinger;Martin Bogdan;Wolfgang Rosenstiel;Thomas Hofmann;Niels Birbaumer;Bernhard Sch{\""{o}}lkopf",2005
Bernhard Schölkopf ,Journal,"Machine Learning, Proceedings of the Twenty-Second International Conference
{(ICML} 2005), Bonn, Germany, August 7-11, 2005",Object correspondence as a machine learning problem,"Bernhard Sch{\""{o}}lkopf;Florian Steinke;Volker Blanz",2005
Bernhard Schölkopf ,Journal,"Machine Learning, Proceedings of the Twenty-Second International Conference
{(ICML} 2005), Bonn, Germany, August 7-11, 2005",Large scale genomic sequence {SVM} classifiers,"S{\""{o}}ren Sonnenburg;Gunnar R{\""{a}}tsch;Bernhard Sch{\""{o}}lkopf",2005
Bernhard Schölkopf ,Journal,"Machine Learning, Proceedings of the Twenty-Second International Conference
{(ICML} 2005), Bonn, Germany, August 7-11, 2005",Implicit surface modelling as an eigenvalue problem,"Christian Walder;Olivier Chapelle;Bernhard Sch{\""{o}}lkopf",2005
Bernhard Schölkopf ,Journal,"Machine Learning, Proceedings of the Twenty-Second International Conference
{(ICML} 2005), Bonn, Germany, August 7-11, 2005",Building Sparse Large Margin Classifiers,"Mingrui Wu;Bernhard Sch{\""{o}}lkopf;G{\""{o}}khan H. Bakir",2005
Bernhard Schölkopf ,Journal,"Machine Learning, Proceedings of the Twenty-Second International Conference
{(ICML} 2005), Bonn, Germany, August 7-11, 2005",Learning from labeled and unlabeled data on a directed graph,"Dengyong Zhou;Jiayuan Huang;Bernhard Sch{\""{o}}lkopf",2005
Bernhard Schölkopf ,Journal,"Proceedings Thirteenth International Conference on Intelligent Systems
for Molecular Biology 2005, Detroit, MI, USA, 25-29 June 2005",{RASE:} recognition of alternatively spliced exons in \emph{C.elegans},"Gunnar R{\""{a}}tsch;S{\""{o}}ren Sonnenburg;Bernhard Sch{\""{o}}lkopf",2005
Bernhard Schölkopf ,Journal,"Computational Intelligence and Bioinspired Systems, 8th International
Work-Conference on Artificial Neural Networks, {IWANN} 2005, Vilanova
i la Geltr{\'{u}}, Barcelona, Spain, June 8-10, 2005, Proceedings",Joint Kernel Maps,"Jason Weston;Bernhard Sch{\""{o}}lkopf;Olivier Bousquet",2005
Bernhard Schölkopf ,Journal,"Computational Intelligence and Bioinspired Systems, 8th International
Work-Conference on Artificial Neural Networks, {IWANN} 2005, Vilanova
i la Geltr{\'{u}}, Barcelona, Spain, June 8-10, 2005, Proceedings","Long Term Prediction of Product Quality in a Glass Manufacturing Process
Using a Kernel Based Approach","Tobias Jung;Luis Javier Herrera;Bernhard Sch{\""{o}}lkopf",2005
Bernhard Schölkopf ,Journal,"Machine Learning Challenges, Evaluating Predictive Uncertainty, Visual
Object Classification and Recognizing Textual Entailment, First {PASCAL}
Machine Learning Challenges Workshop, {MLCW} 2005, Southampton, UK,
April 11-13, 2005, Revised Selected Papers",Evaluating Predictive Uncertainty Challenge,"Joaquin Qui{\~{n}}onero Candela;Carl Edward Rasmussen;Fabian H. Sinz;Olivier Bousquet;Bernhard Sch{\""{o}}lkopf",2005
Bernhard Schölkopf ,Paper,Int. J. Artif. Intell. Tools,Feature Selection for Support Vector Machines Using Genetic Algorithms,"Holger Fr{\""{o}}hlich;Olivier Chapelle;Bernhard Sch{\""{o}}lkopf",2004
Bernhard Schölkopf ,Paper,J. Mach. Learn. Res.,A Compression Approach to Support Vector Model Selection,"Ulrike von Luxburg;Olivier Bousquet;Bernhard Sch{\""{o}}lkopf",2004
Bernhard Schölkopf ,Paper,Neural Networks,"Experimentally optimal v in support vector regression for different
noise models and parameter settings","Athanassia Chalimourda;Bernhard Sch{\""{o}}lkopf;Alexander J. Smola",2004
Bernhard Schölkopf ,Paper,Stat. Comput.,A tutorial on support vector regression,"Alexander J. Smola;Bernhard Sch{\""{o}}lkopf",2004
Bernhard Schölkopf ,Paper,{IEEE} Trans. Biomed. Eng.,Support vector channel selection in {BCI},"Thomas Navin Lal;Michael Schr{\""{o}}der;Thilo Hinterberger;Jason Weston;Martin Bogdan;Niels Birbaumer;Bernhard Sch{\""{o}}lkopf",2004
Bernhard Schölkopf ,Journal,"Pattern Recognition, 26th {DAGM} Symposium, August 30 - September
1, 2004, T{\""{u}}bingen, Germany, Proceedings",Semi-supervised Kernel Regression Using Whitened Function Classes,"Matthias O. Franz;Younghee Kwon;Carl Edward Rasmussen;Bernhard Sch{\""{o}}lkopf",2004
Bernhard Schölkopf ,Journal,"Pattern Recognition, 26th {DAGM} Symposium, August 30 - September
1, 2004, T{\""{u}}bingen, Germany, Proceedings",Efficient Approximations for Support Vector Machines in Object Detection,"Wolf Kienzle;G{\""{o}}khan H. Bakir;Matthias O. Franz;Bernhard Sch{\""{o}}lkopf",2004
Bernhard Schölkopf ,Journal,"Pattern Recognition, 26th {DAGM} Symposium, August 30 - September
1, 2004, T{\""{u}}bingen, Germany, Proceedings",Learning from Labeled and Unlabeled Data Using Random Walks,"Dengyong Zhou;Bernhard Sch{\""{o}}lkopf",2004
Bernhard Schölkopf ,Journal,"Pattern Recognition, 26th {DAGM} Symposium, August 30 - September
1, 2004, T{\""{u}}bingen, Germany, Proceedings",Multivariate Regression via Stiefel Manifold Constraints,"G{\""{o}}khan H. Bakir;Arthur Gretton;Matthias O. Franz;Bernhard Sch{\""{o}}lkopf",2004
Bernhard Schölkopf ,Journal,"Machine Learning, Proceedings of the Twenty-first International Conference
{(ICML} 2004), Banff, Alberta, Canada, July 4-8, 2004",A kernel view of the dimensionality reduction of manifolds,"Jihun Ham;Daniel D. Lee;Sebastian Mika;Bernhard Sch{\""{o}}lkopf",2004
Bernhard Schölkopf ,Journal,"Advances in Neural Information Processing Systems 17 [Neural Information
Processing Systems, {NIPS} 2004, December 13-18, 2004, Vancouver,
British Columbia, Canada]",Implicit Wiener Series for Higher-Order Image Analysis,"Matthias O. Franz;Bernhard Sch{\""{o}}lkopf",2004
Bernhard Schölkopf ,Journal,"Advances in Neural Information Processing Systems 17 [Neural Information
Processing Systems, {NIPS} 2004, December 13-18, 2004, Vancouver,
British Columbia, Canada]",An Auditory Paradigm for Brain-Computer Interfaces,"N. Jeremy Hill;Thomas Navin Lal;Karin Bierig;Niels Birbaumer;Bernhard Sch{\""{o}}lkopf",2004
Bernhard Schölkopf ,Journal,"Advances in Neural Information Processing Systems 17 [Neural Information
Processing Systems, {NIPS} 2004, December 13-18, 2004, Vancouver,
British Columbia, Canada]",Face Detection - Efficient and Rank Deficient,"Wolf Kienzle;G{\""{o}}khan H. Bakir;Matthias O. Franz;Bernhard Sch{\""{o}}lkopf",2004
Bernhard Schölkopf ,Journal,"Advances in Neural Information Processing Systems 17 [Neural Information
Processing Systems, {NIPS} 2004, December 13-18, 2004, Vancouver,
British Columbia, Canada]",Methods Towards Invasive Human Brain Computer Interfaces,"Thomas Navin Lal;Thilo Hinterberger;Guido Widman;Michael Schr{\""{o}}der;N. Jeremy Hill;Wolfgang Rosenstiel;Christian Erich Elger;Bernhard Sch{\""{o}}lkopf;Niels Birbaumer",2004
Bernhard Schölkopf ,Journal,"Advances in Neural Information Processing Systems 17 [Neural Information
Processing Systems, {NIPS} 2004, December 13-18, 2004, Vancouver,
British Columbia, Canada]",Kernel Methods for Implicit Surface Modeling,"Bernhard Sch{\""{o}}lkopf;Joachim Giesen;Simon Spalinger",2004
Bernhard Schölkopf ,Journal,"Advances in Neural Information Processing Systems 17 [Neural Information
Processing Systems, {NIPS} 2004, December 13-18, 2004, Vancouver,
British Columbia, Canada]","Machine Learning Applied to Perception: Decision Images for Gender
Classification","Felix A. Wichmann;Arnulf B. A. Graf;Eero P. Simoncelli;Heinrich H. B{\""{u}}lthoff;Bernhard Sch{\""{o}}lkopf",2004
Bernhard Schölkopf ,Journal,"Advances in Neural Information Processing Systems 17 [Neural Information
Processing Systems, {NIPS} 2004, December 13-18, 2004, Vancouver,
British Columbia, Canada]",Semi-supervised Learning on Directed Graphs,"Dengyong Zhou;Bernhard Sch{\""{o}}lkopf;Thomas Hofmann",2004
Bernhard Schölkopf ,Paper,Bioinform.,"Feature selection and transduction for prediction of molecular bioactivity
for drug design","Jason Weston;Fernando P{\'{e}}rez{-}Cruz;Olivier Bousquet;Olivier Chapelle;Andr{\'{e}} Elisseeff;Bernhard Sch{\""{o}}lkopf",2003
Bernhard Schölkopf ,Paper,Complex.,"Statistical learning theory, capacity, and complexity","Bernhard Sch{\""{o}}lkopf",2003
Bernhard Schölkopf ,Paper,J. Mach. Learn. Res.,Use of the Zero-Norm with Linear Models and Kernel Methods,"Jason Weston;Andr{\'{e}} Elisseeff;Bernhard Sch{\""{o}}lkopf;Michael E. Tipping",2003
Bernhard Schölkopf ,Paper,{IEEE} Trans. Pattern Anal. Mach. Intell.,"Constructing Descriptive and Discriminative Nonlinear Features: Rayleigh
Coefficients in Kernel Feature Spaces","Sebastian Mika;Gunnar R{\""{a}}tsch;Jason Weston;Bernhard Sch{\""{o}}lkopf;Alexander J. Smola;Klaus{-}Robert M{\""{u}}ller",2003
Bernhard Schölkopf ,Journal,"15th {IEEE} International Conference on Tools with Artificial Intelligence
{(ICTAI} 2003), 3-5 November 2003, Sacramento, California, {USA}","Feature Selection for Support Vector Machines by Means of Genetic
Algorithms","Holger Fr{\""{o}}hlich;Olivier Chapelle;Bernhard Sch{\""{o}}lkopf",2003
Bernhard Schölkopf ,Journal,"Advances in Neural Information Processing Systems 16 [Neural Information
Processing Systems, {NIPS} 2003, December 8-13, 2003, Vancouver and
Whistler, British Columbia, Canada]",Ranking on Data Manifolds,"Dengyong Zhou;Jason Weston;Arthur Gretton;Olivier Bousquet;Bernhard Sch{\""{o}}lkopf",2003
Bernhard Schölkopf ,Journal,"Advances in Neural Information Processing Systems 16 [Neural Information
Processing Systems, {NIPS} 2003, December 8-13, 2003, Vancouver and
Whistler, British Columbia, Canada]",Learning with Local and Global Consistency,"Dengyong Zhou;Olivier Bousquet;Thomas Navin Lal;Jason Weston;Bernhard Sch{\""{o}}lkopf",2003
Bernhard Schölkopf ,Journal,"Advances in Neural Information Processing Systems 16 [Neural Information
Processing Systems, {NIPS} 2003, December 8-13, 2003, Vancouver and
Whistler, British Columbia, Canada]",Learning to Find Pre-Images,"G{\""{o}}khan H. Bakir;Jason Weston;Bernhard Sch{\""{o}}lkopf",2003
Bernhard Schölkopf ,Journal,"Advances in Neural Information Processing Systems 16 [Neural Information
Processing Systems, {NIPS} 2003, December 8-13, 2003, Vancouver and
Whistler, British Columbia, Canada]",Prediction on Spike Data Using Kernel Algorithms,"Jan Eichhorn;Andreas S. Tolias;Alexander Zien;Malte Kuss;Carl Edward Rasmussen;Jason Weston;Nikos K. Logothetis;Bernhard Sch{\""{o}}lkopf",2003
Bernhard Schölkopf ,Paper,{AI} Mag.,"Support Vector Machines and Kernel Methods: The New Generation of
Learning Machines","Nello Cristianini;Bernhard Sch{\""{o}}lkopf",2002
Bernhard Schölkopf ,Paper,Mach. Learn.,Training Invariant Support Vector Machines,"Dennis DeCoste;Bernhard Sch{\""{o}}lkopf",2002
Bernhard Schölkopf ,Paper,{IEEE} Trans. Pattern Anal. Mach. Intell.,"Constructing Boosting Algorithms from SVMs: An Application to One-Class
Classification","Gunnar R{\""{a}}tsch;Sebastian Mika;Bernhard Sch{\""{o}}lkopf;Klaus{-}Robert M{\""{u}}ller",2002
Bernhard Schölkopf ,Journal,"Machine Learning: {ECML} 2002, 13th European Conference on Machine
Learning, Helsinki, Finland, August 19-23, 2002, Proceedings",A Kernel Approach for Learning from almost Orthogonal Patterns,"Bernhard Sch{\""{o}}lkopf;Jason Weston;Eleazar Eskin;Christina S. Leslie;William Stafford Noble",2002
Bernhard Schölkopf ,Journal,"Advanced Lectures on Machine Learning, Machine Learning Summer School
2002, Canberra, Australia, February 11-22, 2002, Revised Lectures",A Short Introduction to Learning with Kernels,"Bernhard Sch{\""{o}}lkopf;Alexander J. Smola",2002
Bernhard Schölkopf ,Journal,"Advanced Lectures on Machine Learning, Machine Learning Summer School
2002, Canberra, Australia, February 11-22, 2002, Revised Lectures",Bayesian Kernel Methods,"Alexander J. Smola;Bernhard Sch{\""{o}}lkopf",2002
Bernhard Schölkopf ,Journal,"Advances in Neural Information Processing Systems 15 [Neural Information
Processing Systems, {NIPS} 2002, December 9-14, 2002, Vancouver, British
Columbia, Canada]",Cluster Kernels for Semi-Supervised Learning,"Olivier Chapelle;Jason Weston;Bernhard Sch{\""{o}}lkopf",2002
Bernhard Schölkopf ,Journal,"Advances in Neural Information Processing Systems 15 [Neural Information
Processing Systems, {NIPS} 2002, December 9-14, 2002, Vancouver, British
Columbia, Canada]",Kernel Dependency Estimation,"Jason Weston;Olivier Chapelle;Andr{\'{e}} Elisseeff;Bernhard Sch{\""{o}}lkopf;Vladimir Vapnik",2002
Bernhard Schölkopf ,Journal,"Principles of Data Mining and Knowledge Discovery, 6th European Conference,
{PKDD} 2002, Helsinki, Finland, August 19-23, 2002, Proceedings",A Kernel Approach for Learning from Almost Orthogonal Patterns,"Bernhard Sch{\""{o}}lkopf;Jason Weston;Eleazar Eskin;Christina S. Leslie;William Stafford Noble",2002
Bernhard Schölkopf ,Paper,J. Mach. Learn. Res.,Regularized Principal Manifolds,"Alexander J. Smola;Sebastian Mika;Bernhard Sch{\""{o}}lkopf;Robert C. Williamson",2001
Bernhard Schölkopf ,Paper,Neural Comput.,Estimating the Support of a High-Dimensional Distribution,"Bernhard Sch{\""{o}}lkopf;John C. Platt;John Shawe{-}Taylor;Alexander J. Smola;Robert C. Williamson",2001
Bernhard Schölkopf ,Paper,{IEEE} Trans. Inf. Theory,"Generalization performance of regularization networks and support
vector machines via entropy numbers of compact operators","Robert C. Williamson;Alexander J. Smola;Bernhard Sch{\""{o}}lkopf",2001
Bernhard Schölkopf ,Paper,{IEEE} Trans. Neural Networks,An introduction to kernel-based learning algorithms,"Klaus{-}Robert M{\""{u}}ller;Sebastian Mika;Gunnar R{\""{a}}tsch;Koji Tsuda;Bernhard Sch{\""{o}}lkopf",2001
Bernhard Schölkopf ,Journal,"Proceedings of the Eighth International Workshop on Artificial Intelligence
and Statistics, {AISTATS} 2001, Key West, Florida, USA, January 4-7,
2001",An improved training algorithm for kernel Fisher discriminants,"Sebastian Mika;Alexander J. Smola;Bernhard Sch{\""{o}}lkopf",2001
Bernhard Schölkopf ,Journal,"Proceedings of the Eighth International Workshop on Artificial Intelligence
and Statistics, {AISTATS} 2001, Key West, Florida, USA, January 4-7,
2001","A Kernel Approach for Vector Quantization with Guaranteed Distortion
Bounds","Michael E. Tipping;Bernhard Sch{\""{o}}lkopf",2001
Bernhard Schölkopf ,Journal,"Computational Learning Theory, 14th Annual Conference on Computational
Learning Theory, {COLT} 2001 and 5th European Conference on Computational
Learning Theory, EuroCOLT 2001, Amsterdam, The Netherlands, July 16-19,
2001, Proceedings",A Generalized Representer Theorem,"Bernhard Sch{\""{o}}lkopf;Ralf Herbrich;Alexander J. Smola",2001
Bernhard Schölkopf ,Journal,"Proceedings of the Eighth International Conference On Computer Vision
(ICCV-01), Vancouver, British Columbia, Canada, July 7-14, 2001 -
Volume 2","Kernel Machine Based Learning for Multi-View Face Detection and Pose
Estimation","Stan Z. Li;QingDong Fu;Lie Gu;Bernhard Sch{\""{o}}lkopf;Yimin Cheng;HongJiang Zhang",2001
Bernhard Schölkopf ,Journal,"Proceedings of the Eighth International Conference On Computer Vision
(ICCV-01), Vancouver, British Columbia, Canada, July 7-14, 2001 -
Volume 2",Computationally Efficient Face Detection,"Sami Romdhani;Philip H. S. Torr;Bernhard Sch{\""{o}}lkopf;Andrew Blake",2001
Bernhard Schölkopf ,Journal,"Proceedings of the Eighteenth International Conference on Machine
Learning {(ICML} 2001), Williams College, Williamstown, MA, USA, June
28 - July 1, 2001",Estimating a Kernel Fisher Discriminant in the Presence of Label Noise,"Neil D. Lawrence;Bernhard Sch{\""{o}}lkopf",2001
Bernhard Schölkopf ,Journal,"Advances in Neural Information Processing Systems 14 [Neural Information
Processing Systems: Natural and Synthetic, {NIPS} 2001, December 3-8,
2001, Vancouver, British Columbia, Canada]",Sampling Techniques for Kernel Methods,"Dimitris Achlioptas;Frank McSherry;Bernhard Sch{\""{o}}lkopf",2001
Bernhard Schölkopf ,Journal,"Advances in Neural Information Processing Systems 14 [Neural Information
Processing Systems: Natural and Synthetic, {NIPS} 2001, December 3-8,
2001, Vancouver, British Columbia, Canada]",Incorporating Invariances in Non-Linear Support Vector Machines,"Olivier Chapelle;Bernhard Sch{\""{o}}lkopf",2001
Bernhard Schölkopf ,Paper,Bioinform.,"Engineering support vector machine kernels that recognize translation
initiation sites","Alexander Zien;Gunnar R{\""{a}}tsch;Sebastian Mika;Bernhard Sch{\""{o}}lkopf;Thomas Lengauer;Klaus{-}Robert M{\""{u}}ller",2000
Bernhard Schölkopf ,Paper,Neural Comput.,New Support Vector Algorithms,"Bernhard Sch{\""{o}}lkopf;Alexander J. Smola;Robert C. Williamson;Peter L. Bartlett",2000
Bernhard Schölkopf ,Journal,"Proceedings of the Thirteenth Annual Conference on Computational Learning
Theory {(COLT} 2000), June 28 - July 1, 2000, Palo Alto, California,
{USA}",Entropy Numbers of Linear Function Classes,"Robert C. Williamson;Alexander J. Smola;Bernhard Sch{\""{o}}lkopf",2000
Bernhard Schölkopf ,Journal,"Proceedings of the Seventeenth International Conference on Machine
Learning {(ICML} 2000), Stanford University, Stanford, CA, USA, June
29 - July 2, 2000",Sparse Greedy Matrix Approximation for Machine Learning,"Alexander J. Smola;Bernhard Sch{\""{o}}lkopf",2000
Bernhard Schölkopf ,Journal,"Proceedings of the {IEEE-INNS-ENNS} International Joint Conference
on Neural Networks, {IJCNN} 2000, Neural Computing: New Challenges
and Perspectives for the New Millennium, Como, Italy, July 24-27,
2000, Volume 5","Choosing in Support Vector Regression with Different Noise Models:
Theory and Experiments","Athanassia Chalimourda;Bernhard Sch{\""{o}}lkopf;Alexander J. Smola",2000
Bernhard Schölkopf ,Journal,"Advances in Neural Information Processing Systems 13, Papers from
Neural Information Processing Systems {(NIPS)} 2000, Denver, CO, {USA}",The Kernel Trick for Distances,"Bernhard Sch{\""{o}}lkopf",2000
Bernhard Schölkopf ,Journal,"Advances in Neural Information Processing Systems 13, Papers from
Neural Information Processing Systems {(NIPS)} 2000, Denver, CO, {USA}","Four-legged Walking Gait Control Using a Neuromorphic Chip Interfaced
to a Support Vector Learning Algorithm","Susanne Still;Bernhard Sch{\""{o}}lkopf;Klaus Hepp;Rodney J. Douglas",2000
Bernhard Schölkopf ,Journal,"Advances in Neural Information Processing Systems 13, Papers from
Neural Information Processing Systems {(NIPS)} 2000, Denver, CO, {USA}",Support Vector Novelty Detection Applied to Jet Engine Vibration Spectra,"Paul M. Hayton;Bernhard Sch{\""{o}}lkopf;Lionel Tarassenko;Paul Anuzis",2000
Bernhard Schölkopf ,Journal,"Knowledge Discovery and Data Mining, Current Issues and New Applications,
4th Pacific-Asia Conference, {PADKK} 2000, Kyoto, Japan, April 18-20,
2000, Proceedings",Robust Ensemble Learning for Data Mining,"Gunnar R{\""{a}}tsch;Bernhard Sch{\""{o}}lkopf;Alexander J. Smola;Sebastian Mika;Takashi Onoda;Klaus{-}Robert M{\""{u}}ller",2000
Bernhard Schölkopf ,Paper,Inform. Forsch. Entwickl.,"Lernen mit Kernen: Support-Vektor-Methoden zur Analyse hochdimensionaler
Daten","Bernhard Sch{\""{o}}lkopf;Klaus{-}Robert M{\""{u}}ller;Alexander J. Smola",1999
Bernhard Schölkopf ,Paper,{IEEE} Trans. Neural Networks,Input space versus feature space in kernel-based methods,"Bernhard Sch{\""{o}}lkopf;Sebastian Mika;Christopher J. C. Burges;Phil Knirsch;Klaus{-}Robert M{\""{u}}ller;Gunnar R{\""{a}}tsch;Alexander J. Smola",1999
Bernhard Schölkopf ,Journal,"Computational Learning Theory, 4th European Conference, EuroCOLT '99,
Nordkirchen, Germany, March 29-31, 1999, Proceedings",Regularized Principal Manifolds,"Alexander J. Smola;Robert C. Williamson;Sebastian Mika;Bernhard Sch{\""{o}}lkopf",1999
Bernhard Schölkopf ,Journal,"Computational Learning Theory, 4th European Conference, EuroCOLT '99,
Nordkirchen, Germany, March 29-31, 1999, Proceedings","Entropy Numbers, Operators and Support Vector Kernels","Robert C. Williamson;Alexander J. Smola;Bernhard Sch{\""{o}}lkopf",1999
Bernhard Schölkopf ,Journal,"Proceedings of the German Conference on Bioinformatics, {GCB} 1999,
October 4-6, 1999, Hannover, Germany","Engineering Support Vector Machine Kerneis That Recognize Translation
Initialion Sites","Alexander Zien;Gunnar R{\""{a}}tsch;Sebastian Mika;Bernhard Sch{\""{o}}lkopf;Christian Lemmen;Alexander J. Smola;Thomas Lengauer;Klaus{-}Robert M{\""{u}}ller",1999
Bernhard Schölkopf ,Journal,"Advances in Neural Information Processing Systems 12, {[NIPS} Conference,
Denver, Colorado, USA, November 29 - December 4, 1999]",The Entropy Regularization Information Criterion,"Alexander J. Smola;John Shawe{-}Taylor;Bernhard Sch{\""{o}}lkopf;Robert C. Williamson",1999
Bernhard Schölkopf ,Journal,"Advances in Neural Information Processing Systems 12, {[NIPS} Conference,
Denver, Colorado, USA, November 29 - December 4, 1999]",Invariant Feature Extraction and Classification in Kernel Spaces,"Sebastian Mika;Gunnar R{\""{a}}tsch;Jason Weston;Bernhard Sch{\""{o}}lkopf;Alexander J. Smola;Klaus{-}Robert M{\""{u}}ller",1999
Bernhard Schölkopf ,Journal,"Advances in Neural Information Processing Systems 12, {[NIPS} Conference,
Denver, Colorado, USA, November 29 - December 4, 1999]",v-Arc: Ensemble Learning in the Presence of Outliers,"Gunnar R{\""{a}}tsch;Bernhard Sch{\""{o}}lkopf;Alexander J. Smola;Klaus{-}Robert M{\""{u}}ller;Takashi Onoda;Sebastian Mika",1999
Bernhard Schölkopf ,Journal,"Advances in Neural Information Processing Systems 12, {[NIPS} Conference,
Denver, Colorado, USA, November 29 - December 4, 1999]",Support Vector Method for Novelty Detection,"Bernhard Sch{\""{o}}lkopf;Robert C. Williamson;Alexander J. Smola;John Shawe{-}Taylor;John C. Platt",1999
Bernhard Schölkopf ,Paper,Algorithmica,"On a Kernel-Based Method for Pattern Recognition, Regression, Approximation,
and Operator Inversion","Alexander J. Smola;Bernhard Sch{\""{o}}lkopf",1998
Bernhard Schölkopf ,Paper,Auton. Robots,Learning View Graphs for Robot Navigation,"Matthias O. Franz;Bernhard Sch{\""{o}}lkopf;Hanspeter A. Mallot;Heinrich H. B{\""{u}}lthoff",1998
Bernhard Schölkopf ,Paper,Biol. Cybern.,Where did {I} take that snapshot? Scene-based homing by image matching,"Matthias O. Franz;Bernhard Sch{\""{o}}lkopf;Hanspeter A. Mallot;Heinrich H. B{\""{u}}lthoff",1998
Bernhard Schölkopf ,Paper,Neural Comput.,Nonlinear Component Analysis as a Kernel Eigenvalue Problem,"Bernhard Sch{\""{o}}lkopf;Alexander J. Smola;Klaus{-}Robert M{\""{u}}ller",1998
Bernhard Schölkopf ,Paper,Neural Networks,"The connection between regularization operators and support vector
kernels","Alexander J. Smola;Bernhard Sch{\""{o}}lkopf;Klaus{-}Robert M{\""{u}}ller",1998
Bernhard Schölkopf ,Journal,"Mustererkennung 1998, 20. DAGM-Symposium, Stuttgart, 29. September
- 1. Oktober 1998, Proceedings","Fast Approximation of Support Vector Kernel Expansions, and an Interpretation
of Clustering as Approximation in Feature Spaces","Bernhard Sch{\""{o}}lkopf;Alexander J. Smola;Phil Knirsch;Chris Burges",1998
Bernhard Schölkopf ,Journal,"Mustererkennung 1998, 20. DAGM-Symposium, Stuttgart, 29. September
- 1. Oktober 1998, Proceedings","Navigation mit Schnappsch{\""{u}}ssen","Matthias O. Franz;Bernhard Sch{\""{o}}lkopf;Hanspeter A. Mallot;Heinrich H. B{\""{u}}lthoff;Andreas Zell",1998
Bernhard Schölkopf ,Journal,"Advances in Neural Information Processing Systems 11, {[NIPS} Conference,
Denver, Colorado, USA, November 30 - December 5, 1998]",Shrinking the Tube: {A} New Support Vector Regression Algorithm,"Bernhard Sch{\""{o}}lkopf;Peter L. Bartlett;Alexander J. Smola;Robert C. Williamson",1998
Bernhard Schölkopf ,Journal,"Advances in Neural Information Processing Systems 11, {[NIPS} Conference,
Denver, Colorado, USA, November 30 - December 5, 1998]",Kernel {PCA} and De-Noising in Feature Spaces,"Sebastian Mika;Bernhard Sch{\""{o}}lkopf;Alexander J. Smola;Klaus{-}Robert M{\""{u}}ller;Matthias Scholz;Gunnar R{\""{a}}tsch",1998
Bernhard Schölkopf ,Journal,"Advances in Neural Information Processing Systems 11, {[NIPS} Conference,
Denver, Colorado, USA, November 30 - December 5, 1998]",Semiparametric Support Vector and Linear Programming Machines,"Alexander J. Smola;Thilo{-}Thomas Frie{\ss};Bernhard Sch{\""{o}}lkopf",1998
Bernhard Schölkopf ,Paper,{IEEE} Trans. Signal Process.,"Comparing support vector machines with Gaussian kernels to radial
basis function classifiers","Bernhard Sch{\""{o}}lkopf;Kah Kay Sung;Christopher J. C. Burges;Federico Girosi;Partha Niyogi;Tomaso A. Poggio;Vladimir Vapnik",1997
Bernhard Schölkopf ,Journal,"Proceedings of the First International Conference on Autonomous Agents,
{AGENTS} 1997, Marina del Rey, California, USA, February 5-8, 1997",Learning View Graphs for Robot Navigation,"Matthias O. Franz;Bernhard Sch{\""{o}}lkopf;Philip Georg;Hanspeter A. Mallot;Heinrich H. B{\""{u}}lthoff",1997
Bernhard Schölkopf ,Journal,"Artificial Neural Networks - {ICANN} '97, 7th International Conference,
Lausanne, Switzerland, October 8-10, 1997, Proceedings",Kernel Principal Component Analysis,"Bernhard Sch{\""{o}}lkopf;Alexander J. Smola;Klaus{-}Robert M{\""{u}}ller",1997
Bernhard Schölkopf ,Journal,"Artificial Neural Networks - {ICANN} '97, 7th International Conference,
Lausanne, Switzerland, October 8-10, 1997, Proceedings",The View-Graph Approach to Visual Navigation and Spatial Memory,"Hanspeter A. Mallot;Matthias O. Franz;Bernhard Sch{\""{o}}lkopf;Heinrich H. B{\""{u}}lthoff",1997
Bernhard Schölkopf ,Journal,"Artificial Neural Networks - {ICANN} '97, 7th International Conference,
Lausanne, Switzerland, October 8-10, 1997, Proceedings",Predicting Time Series with Support Vector Machines,"Klaus{-}Robert M{\""{u}}ller;Alexander J. Smola;Gunnar R{\""{a}}tsch;Bernhard Sch{\""{o}}lkopf;Jens Kohlmorgen;Vladimir Vapnik",1997
